rule_id,name,rule_set_id,category,confidence,requires_sme_review,sme_review_note,description,condition_text,pattern,is_duplicated,primary_program,primary_paragraph,primary_line
RULE-ENFORCE-WS-ACTIVE-CONNECTIONS-HAS-REQUIRED-VALUE,Enforce WS ACTIVE CONNECTIONS has required value,LIMIT_CHECK,LIMIT_CHECK,medium,True,,"Enforce WS ACTIVE CONNECTIONS has required value. When WS-ACTIVE-CONNECTIONS < WS-MAX-CONNECTIONS, the system applies this rule. Implemented in program DB2ONLN, paragraph P100-PROCESS-CONNECT.",WS-ACTIVE-CONNECTIONS < WS-MAX-CONNECTIONS,FIELD_VALUE_COMPARE,False,DB2ONLN,P100-PROCESS-CONNECT,
RULE-VALIDATE-RECV-SUCCESS-HAS-REQUIRED-VALUE,Validate RECV Success has required value,VALIDATION,VALIDATION,medium,True,,"Validate RECV Success has required value. When RECV-SUCCESS, the system applies this rule. Implemented in program DB2RECV, paragraph P100-RECOVER-CONNECTION.",RECV-SUCCESS,FIELD_VALUE_COMPARE,True,DB2RECV,P100-RECOVER-CONNECTION,
RULE-ENFORCE-WS-RETRY-COUNT-EQUALS-SPECIFIED-VALUE,Enforce WS RETRY COUNT equals specified value,LIMIT_CHECK,LIMIT_CHECK,medium,True,,"Enforce WS RETRY COUNT equals specified value. When WS-RETRY-COUNT >= WS-MAX-RETRIES, the system applies this rule. Implemented in program DB2RECV, paragraph END-PERFORM.",WS-RETRY-COUNT >= WS-MAX-RETRIES,FIELD_VALUE_COMPARE,False,DB2RECV,END-PERFORM,
RULE-HANDLE-OF-EQUALS-SPECIFIED-VALUE,Handle OF equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle OF equals specified value. When DB2-RESPONSE-CODE OF WS-DB2-REQUEST = 0, the system applies this rule. Implemented in program DB2RECV, paragraph END-EXEC.",DB2-RESPONSE-CODE OF WS-DB2-REQUEST = 0,FIELD_VALUE_COMPARE,False,DB2RECV,END-EXEC,
RULE-VALIDATE-ERROR-CONTINUE-ERROR-CONTINUE,Validate Error CONTINUE error continue,VALIDATION,VALIDATION,high,False,,"Validate Error CONTINUE error continue. When ERR-CONTINUE, the system applies this rule. Implemented in program DB2RECV, paragraph END-EXEC.",ERR-CONTINUE,CONDITION_NAME,False,DB2RECV,END-EXEC,
RULE-HANDLE-SQLCODE-MEETS-CRITERIA,Handle SQLCODE meets criteria,ERROR_HANDLING,ERROR_HANDLING,high,False,,"Handle SQLCODE meets criteria. When SQLCODE NOT = 0 AND SQLCODE NOT = -601, the system applies this rule. Implemented in program DB2STAT, paragraph 1100-CREATE-STATS-TABLE.",SQLCODE NOT = 0 AND SQLCODE NOT = -601,MULTI_CONDITION,False,DB2STAT,1100-CREATE-STATS-TABLE,
RULE-HANDLE-ERROR-TRACE-ID-IS-NOT-ZERO-OR-EMPTY,Handle Error TRACE ID is not zero or empty,ERROR_HANDLING,ERROR_HANDLING,medium,True,,"Handle Error TRACE ID is not zero or empty. When ERR-TRACE-ID = SPACES, the system applies this rule. Implemented in program ERRHNDL, paragraph P100-INIT-ERROR-HANDLER.",ERR-TRACE-ID = SPACES,NULL_ZERO_CHECK,False,ERRHNDL,P100-INIT-ERROR-HANDLER,
RULE-HANDLE-WS-LOG-STATUS-IS-00,Handle WS LOG STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS LOG STATUS is 00. When WS-LOG-STATUS NOT = '00', the system applies this rule. Implemented in program ERRPROC, paragraph 1000-INITIALIZE.",WS-LOG-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,ERRPROC,1000-INITIALIZE,
RULE-VALIDATE-MORE-RECORDS-HAS-REQUIRED-VALUE,Validate MORE RECORDS has required value,VALIDATION,VALIDATION,medium,True,,"Validate MORE RECORDS has required value. When MORE-RECORDS, the system applies this rule. Implemented in program HISTLD00, paragraph 2000-PROCESS.",MORE-RECORDS,FIELD_VALUE_COMPARE,False,HISTLD00,2000-PROCESS,
RULE-HANDLE-WS-TH-STATUS-IS-00,Handle WS TH STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS TH STATUS is 00. When WS-TH-STATUS NOT = '00', the system applies this rule. Implemented in program HISTLD00, paragraph 1100-OPEN-FILES.",WS-TH-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,HISTLD00,1100-OPEN-FILES,
RULE-HANDLE-WS-BCT-STATUS-IS-00,Handle WS BCT STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS BCT STATUS is 00. When WS-BCT-STATUS NOT = '00', the system applies this rule. Implemented in program HISTLD00, paragraph 1100-OPEN-FILES.",WS-BCT-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,HISTLD00,1100-OPEN-FILES,
RULE-VALIDATE-WS-COMMIT-COUNT-EQUALS-SPECIFIED-VALUE,Validate WS COMMIT COUNT equals specified value,VALIDATION,VALIDATION,medium,True,,"Validate WS COMMIT COUNT equals specified value. When WS-COMMIT-COUNT >= WS-COMMIT-THRESHOLD, the system applies this rule. Implemented in program HISTLD00, paragraph 2300-CHECK-COMMIT.",WS-COMMIT-COUNT >= WS-COMMIT-THRESHOLD,FIELD_VALUE_COMPARE,False,HISTLD00,2300-CHECK-COMMIT,
RULE-HANDLE-DB2-RESPONSE-CODE-EQUALS-SPECIFIED-VALUE,Handle DB2 RESPONSE Code equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle DB2 RESPONSE Code equals specified value. When DB2-RESPONSE-CODE NOT = 0, the system applies this rule. Implemented in program INQHIST, paragraph END-EXEC.",DB2-RESPONSE-CODE NOT = 0,FIELD_VALUE_COMPARE,False,INQHIST,END-EXEC,
RULE-HANDLE-CURS-RESPONSE-CODE-EQUALS-SPECIFIED-VALUE,Handle CURS RESPONSE Code equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle CURS RESPONSE Code equals specified value. When CURS-RESPONSE-CODE = 0, the system applies this rule. Implemented in program INQHIST, paragraph END-EXEC.",CURS-RESPONSE-CODE = 0,FIELD_VALUE_COMPARE,False,INQHIST,END-EXEC,
RULE-HANDLE-SEC-RESPONSE-CODE-EQUALS-SPECIFIED-VALUE,Handle SEC RESPONSE Code equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle SEC RESPONSE Code equals specified value. When SEC-RESPONSE-CODE NOT = 0, the system applies this rule. Implemented in program INQONLN, paragraph END-EXEC.",SEC-RESPONSE-CODE NOT = 0,FIELD_VALUE_COMPARE,False,INQONLN,END-EXEC,
RULE-VALIDATE-ERROR-ABEND-ERROR-ABEND,Validate Error ABEND error abend,VALIDATION,VALIDATION,high,False,,"Validate Error ABEND error abend. When ERR-ABEND, the system applies this rule. Implemented in program INQONLN, paragraph END-EXEC.",ERR-ABEND,CONDITION_NAME,False,INQONLN,END-EXEC,
RULE-HANDLE-WS-RESPONSE-CODE-EQUALS-SPECIFIED-VALUE,Handle WS RESPONSE Code equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS RESPONSE Code equals specified value. When WS-RESPONSE-CODE = DFHRESP(NORMAL), the system applies this rule. Implemented in program INQPORT, paragraph END-EXEC.",WS-RESPONSE-CODE = DFHRESP(NORMAL),FIELD_VALUE_COMPARE,False,INQPORT,END-EXEC,
RULE-HANDLE-WS-SUCCESS-STATUS-HAS-REQUIRED-VALUE,Handle WS Success STATUS has required value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS Success STATUS has required value. When NOT WS-SUCCESS-STATUS OR, the system applies this rule. Implemented in program PORTADD, paragraph 1000-INITIALIZE.",NOT WS-SUCCESS-STATUS OR,FIELD_VALUE_COMPARE,True,PORTADD,1000-INITIALIZE,
RULE-VALIDATE-PORT-ID-IS-NOT-ZERO-OR-EMPTY,Validate PORT ID is not zero or empty,VALIDATION,VALIDATION,medium,True,,"Validate PORT ID is not zero or empty. When PORT-ID EQUAL SPACES OR, the system applies this rule. Implemented in program PORTADD, paragraph 2100-VALIDATE-AND-ADD.",PORT-ID EQUAL SPACES OR,NULL_ZERO_CHECK,False,PORTADD,2100-VALIDATE-AND-ADD,
RULE-VALIDATE-WS-AUD-SUCCESS-HAS-REQUIRED-VALUE,Validate WS AUD Success has required value,VALIDATION,VALIDATION,medium,True,,"Validate WS AUD Success has required value. When NOT WS-AUD-SUCCESS, the system applies this rule. Implemented in program PORTDEL, paragraph 2300-WRITE-AUDIT.",NOT WS-AUD-SUCCESS,FIELD_VALUE_COMPARE,False,PORTDEL,2300-WRITE-AUDIT,
RULE-VALIDATE-PORT-SUCCESS-HAS-REQUIRED-VALUE,Validate PORT Success has required value,VALIDATION,VALIDATION,medium,True,,"Validate PORT Success has required value. When NOT PORT-SUCCESS, the system applies this rule. Implemented in program PORTMSTR, paragraph 1000-INITIALIZE.",NOT PORT-SUCCESS,FIELD_VALUE_COMPARE,False,PORTMSTR,1000-INITIALIZE,
RULE-VALIDATE-WS-SUCCESS-EQUALS-SPECIFIED-VALUE,Validate WS Success equals specified value,VALIDATION,VALIDATION,medium,False,,"Validate WS Success equals specified value. When WS-RETURN-CODE NOT = WS-SUCCESS, the system applies this rule. Implemented in program PORTMSTR, paragraph 2000-CREATE-PORTFOLIO.",WS-RETURN-CODE NOT = WS-SUCCESS,FIELD_VALUE_COMPARE,False,PORTMSTR,2000-CREATE-PORTFOLIO,
RULE-VALIDATE-PORT-DUP-KEY-HAS-REQUIRED-VALUE,Validate PORT DUP KEY has required value,VALIDATION,VALIDATION,medium,True,,"Validate PORT DUP KEY has required value. When PORT-DUP-KEY, the system applies this rule. Implemented in program PORTMSTR, paragraph 2000-CREATE-PORTFOLIO.",PORT-DUP-KEY,FIELD_VALUE_COMPARE,False,PORTMSTR,2000-CREATE-PORTFOLIO,
RULE-VALIDATE-PORT-IS-PORT,Validate PORT is PORT,VALIDATION,VALIDATION,medium,True,,"Validate PORT is PORT. When PORT-ID(1:4) NOT = 'PORT', the system applies this rule. Implemented in program PORTMSTR, paragraph 2100-VALIDATE-PORTFOLIO.",PORT-ID(1:4) NOT = 'PORT',FIELD_VALUE_COMPARE,False,PORTMSTR,2100-VALIDATE-PORTFOLIO,
RULE-VALIDATE-PORT-NAME-IS-NOT-ZERO-OR-EMPTY,Validate PORT NAME is not zero or empty,VALIDATION,VALIDATION,medium,True,,"Validate PORT NAME is not zero or empty. When PORT-NAME = SPACES, the system applies this rule. Implemented in program PORTMSTR, paragraph 2100-VALIDATE-PORTFOLIO.",PORT-NAME = SPACES,NULL_ZERO_CHECK,False,PORTMSTR,2100-VALIDATE-PORTFOLIO,
RULE-HANDLE-VALID-STATUS-HAS-REQUIRED-VALUE,Handle VALID STATUS has required value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle VALID STATUS has required value. When NOT VALID-STATUS, the system applies this rule. Implemented in program PORTMSTR, paragraph 2100-VALIDATE-PORTFOLIO.",NOT VALID-STATUS,FIELD_VALUE_COMPARE,False,PORTMSTR,2100-VALIDATE-PORTFOLIO,
RULE-VALIDATE-PORT-NOT-FOUND-HAS-REQUIRED-VALUE,Validate PORT NOT FOUND has required value,VALIDATION,VALIDATION,medium,True,,"Validate PORT NOT FOUND has required value. When PORT-NOT-FOUND, the system applies this rule. Implemented in program PORTMSTR, paragraph 4000-UPDATE-PORTFOLIO.",PORT-NOT-FOUND,FIELD_VALUE_COMPARE,False,PORTMSTR,4000-UPDATE-PORTFOLIO,
RULE-HANDLE-WS-TRAN-STATUS-IS-00,Handle WS TRAN STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS TRAN STATUS is 00. When WS-TRAN-STATUS = '00', the system applies this rule. Implemented in program PORTTRAN, paragraph 0000-MAIN.",WS-TRAN-STATUS = '00',FIELD_VALUE_COMPARE,True,PORTTRAN,0000-MAIN,
RULE-HANDLE-WS-PORT-STATUS-IS-00,Handle WS PORT STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS PORT STATUS is 00. When WS-PORT-STATUS NOT = '00', the system applies this rule. Implemented in program PORTTRAN, paragraph 1000-INITIALIZE.",WS-PORT-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,PORTTRAN,1000-INITIALIZE,
RULE-VALIDATE-ERROR-TEXT-IS-NOT-ZERO-OR-EMPTY,Validate Error TEXT is not zero or empty,VALIDATION,VALIDATION,medium,True,,"Validate Error TEXT is not zero or empty. When ERR-TEXT = SPACES, the system applies this rule. Implemented in program PORTTRAN, paragraph 2100-VALIDATE-TRANSACTION.",ERR-TEXT = SPACES,NULL_ZERO_CHECK,False,PORTTRAN,2100-VALIDATE-TRANSACTION,
RULE-VALIDATE-TRN-PORTFOLIO-ID-IS-NOT-ZERO-OR-EMPTY,Validate TRN PORTFOLIO ID is not zero or empty,VALIDATION,VALIDATION,medium,True,,"Validate TRN PORTFOLIO ID is not zero or empty. When TRN-PORTFOLIO-ID = SPACES, the system applies this rule. Implemented in program PORTTRAN, paragraph 2110-CHECK-PORTFOLIO.",TRN-PORTFOLIO-ID = SPACES,NULL_ZERO_CHECK,False,PORTTRAN,2110-CHECK-PORTFOLIO,
RULE-VALIDATE-ZERO-EQUALS-SPECIFIED-VALUE,Validate ZERO equals specified value,VALIDATION,VALIDATION,medium,True,,"Validate ZERO equals specified value. When TRN-QUANTITY <= ZERO, the system applies this rule. Implemented in program PORTTRAN, paragraph 2130-CHECK-AMOUNTS.",TRN-QUANTITY <= ZERO,FIELD_VALUE_COMPARE,False,PORTTRAN,2130-CHECK-AMOUNTS,
RULE-VALIDATE-TRN-PRICE-MEETS-CRITERIA,Validate TRN PRICE meets criteria,VALIDATION,VALIDATION,high,False,,"Validate TRN PRICE meets criteria. When TRN-PRICE <= ZERO AND TRN-TYPE NOT = 'TR', the system applies this rule. Implemented in program PORTTRAN, paragraph 2130-CHECK-AMOUNTS.",TRN-PRICE <= ZERO AND TRN-TYPE NOT = 'TR',MULTI_CONDITION,False,PORTTRAN,2130-CHECK-AMOUNTS,
RULE-VALIDATE-TRN-AMOUNT-MEETS-CRITERIA,Validate TRN AMOUNT meets criteria,VALIDATION,VALIDATION,high,False,,"Validate TRN AMOUNT meets criteria. When TRN-AMOUNT <= ZERO AND TRN-TYPE NOT = 'TR', the system applies this rule. Implemented in program PORTTRAN, paragraph 2130-CHECK-AMOUNTS.",TRN-AMOUNT <= ZERO AND TRN-TYPE NOT = 'TR',MULTI_CONDITION,False,PORTTRAN,2130-CHECK-AMOUNTS,
RULE-VALIDATE-TRN-QUANTITY-HAS-REQUIRED-VALUE,Validate TRN QUANTITY has required value,VALIDATION,VALIDATION,medium,True,,"Validate TRN QUANTITY has required value. When PORT-TOTAL-UNITS < TRN-QUANTITY, the system applies this rule. Implemented in program PORTTRAN, paragraph 2220-PROCESS-SELL.",PORT-TOTAL-UNITS < TRN-QUANTITY,FIELD_VALUE_COMPARE,False,PORTTRAN,2220-PROCESS-SELL,
RULE-VALIDATE-ZERO-IS-NOT-ZERO-OR-EMPTY,Validate ZERO is not zero or empty,VALIDATION,VALIDATION,medium,False,,"Validate ZERO is not zero or empty. When RETURN-CODE NOT = ZERO, the system applies this rule. Implemented in program PORTTRAN, paragraph 2310-WRITE-AUDIT-RECORD.",RETURN-CODE NOT = ZERO,NULL_ZERO_CHECK,True,PORTTRAN,2310-WRITE-AUDIT-RECORD,
RULE-VALIDATE-LS-INPUT-VALUE-EQUALS-SPECIFIED-VALUE,Validate LS INPUT VALUE equals specified value,VALIDATION,VALIDATION,medium,True,,"Validate LS INPUT VALUE equals specified value. When LS-INPUT-VALUE(1:4) NOT = VAL-ID-PREFIX, the system applies this rule. Implemented in program PORTVALD, paragraph 1000-VALIDATE-ID.",LS-INPUT-VALUE(1:4) NOT = VAL-ID-PREFIX,FIELD_VALUE_COMPARE,False,PORTVALD,1000-VALIDATE-ID,
RULE-VALIDATE-NUMERIC-HAS-REQUIRED-VALUE,Validate NUMERIC has required value,VALIDATION,VALIDATION,medium,True,,"Validate NUMERIC has required value. When VAL-NUMERIC-CHECK IS NOT NUMERIC, the system applies this rule. Implemented in program PORTVALD, paragraph 1000-VALIDATE-ID.",VAL-NUMERIC-CHECK IS NOT NUMERIC,FIELD_VALUE_COMPARE,False,PORTVALD,1000-VALIDATE-ID,
RULE-VALIDATE-LS-INPUT-VALUE-IS-STK,Validate LS INPUT VALUE is STK,VALIDATION,VALIDATION,medium,True,,"Validate LS INPUT VALUE is STK. When LS-INPUT-VALUE NOT = 'STK', the system applies this rule. Implemented in program PORTVALD, paragraph 3000-VALIDATE-TYPE.",LS-INPUT-VALUE NOT = 'STK',FIELD_VALUE_COMPARE,False,PORTVALD,3000-VALIDATE-TYPE,
RULE-ENFORCE-VAL-TEMP-NUMBER-HAS-REQUIRED-VALUE,Enforce VAL TEMP Number has required value,LIMIT_CHECK,LIMIT_CHECK,medium,True,,"Enforce VAL TEMP Number has required value. When VAL-TEMP-NUM < VAL-MIN-AMOUNT, the system applies this rule. Implemented in program PORTVALD, paragraph 4000-VALIDATE-AMOUNT.",VAL-TEMP-NUM < VAL-MIN-AMOUNT,FIELD_VALUE_COMPARE,False,PORTVALD,4000-VALIDATE-AMOUNT,
RULE-HANDLE-WS-PSR-STATUS-IS-00,Handle WS PSR STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS PSR STATUS is 00. When WS-PSR-STATUS NOT = '00', the system applies this rule. Implemented in program PRCSEQ00, paragraph 1100-OPEN-FILES.",WS-PSR-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,PRCSEQ00,1100-OPEN-FILES,
RULE-VALIDATE-PSR-TYPE-EQUALS-SPECIFIED-VALUE,Validate PSR Type equals specified value,VALIDATION,VALIDATION,high,False,,"Validate PSR Type equals specified value. When PSR-TYPE = LS-SEQUENCE-TYPE, the system applies this rule. Implemented in program PRCSEQ00, paragraph 1200-BUILD-SEQUENCE.",PSR-TYPE = LS-SEQUENCE-TYPE,FIELD_VALUE_COMPARE,False,PRCSEQ00,1200-BUILD-SEQUENCE,
RULE-HANDLE-BCT-STATUS-READY-EQUALS-SPECIFIED-VALUE,Handle BCT Status READY equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle BCT Status READY equals specified value. When WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-READY, the system applies this rule. Implemented in program PRCSEQ00, paragraph 2100-FIND-NEXT-READY.",WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-READY,FIELD_VALUE_COMPARE,False,PRCSEQ00,2100-FIND-NEXT-READY,
RULE-VALIDATE-WS-SEQUENCE-IX-HAS-REQUIRED-VALUE,Validate WS SEQUENCE IX has required value,VALIDATION,VALIDATION,medium,True,,"Validate WS SEQUENCE IX has required value. When WS-SEQUENCE-IX > WS-PROCESS-COUNT, the system applies this rule. Implemented in program PRCSEQ00, paragraph 2100-FIND-NEXT-READY.",WS-SEQUENCE-IX > WS-PROCESS-COUNT,FIELD_VALUE_COMPARE,False,PRCSEQ00,2100-FIND-NEXT-READY,
RULE-HANDLE-BCT-STATUS-DONE-BCT-STATUS-DONE,Handle BCT STATUS DONE bct status done,ERROR_HANDLING,ERROR_HANDLING,high,False,,"Handle BCT STATUS DONE bct status done. When NOT BCT-STATUS-DONE, the system applies this rule. Implemented in program PRCSEQ00, paragraph 2210-CHECK-DEP-STATUS.",NOT BCT-STATUS-DONE,CONDITION_NAME,False,PRCSEQ00,2210-CHECK-DEP-STATUS,
RULE-VALIDATE-WS-SUB-MEETS-CONDITION,Validate WS SUB meets condition,VALIDATION,VALIDATION,high,False,,"Validate WS SUB meets condition. When PSR-DEP-HARD(WS-SUB), the system applies this rule. Implemented in program PRCSEQ00, paragraph 2210-CHECK-DEP-STATUS.",PSR-DEP-HARD(WS-SUB),CONDITION_NAME,False,PRCSEQ00,2210-CHECK-DEP-STATUS,
RULE-VALIDATE-BCT-RETURN-CODE-HAS-REQUIRED-VALUE,Validate BCT RETURN Code has required value,VALIDATION,VALIDATION,medium,False,,"Validate BCT RETURN Code has required value. When BCT-RETURN-CODE > PSR-DEP-RC(WS-SUB), the system applies this rule. Implemented in program PRCSEQ00, paragraph 2210-CHECK-DEP-STATUS.",BCT-RETURN-CODE > PSR-DEP-RC(WS-SUB),FIELD_VALUE_COMPARE,False,PRCSEQ00,2210-CHECK-DEP-STATUS,
RULE-VALIDATE-WS-PROC-ID-EQUALS-SPECIFIED-VALUE,Validate WS PROC ID equals specified value,VALIDATION,VALIDATION,medium,True,,"Validate WS PROC ID equals specified value. When WS-PROC-ID(WS-SEQUENCE-IX) = BCT-JOB-NAME, the system applies this rule. Implemented in program PRCSEQ00, paragraph 3200-UPDATE-SEQUENCE-TABLE.",WS-PROC-ID(WS-SEQUENCE-IX) = BCT-JOB-NAME,FIELD_VALUE_COMPARE,False,PRCSEQ00,3200-UPDATE-SEQUENCE-TABLE,
RULE-HANDLE-WS-SEQUENCE-IX-EQUALS-SPECIFIED-VALUE,Handle WS SEQUENCE IX equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS SEQUENCE IX equals specified value. When WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-ACTIVE, the system applies this rule. Implemented in program PRCSEQ00, paragraph 3300-CHECK-COMPLETION.",WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-ACTIVE,FIELD_VALUE_COMPARE,False,PRCSEQ00,3300-CHECK-COMPLETION,
RULE-HANDLE-BCT-STATUS-ERROR-EQUALS-SPECIFIED-VALUE,Handle BCT Status ERROR equals specified value,ERROR_HANDLING,ERROR_HANDLING,high,False,,"Handle BCT Status ERROR equals specified value. When WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-ERROR, the system applies this rule. Implemented in program PRCSEQ00, paragraph 3300-CHECK-COMPLETION.",WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-ERROR,FIELD_VALUE_COMPARE,False,PRCSEQ00,3300-CHECK-COMPLETION,
RULE-VALIDATE-WS-ERROR-COUNT-HAS-REQUIRED-VALUE,Validate WS ERROR COUNT has required value,VALIDATION,VALIDATION,medium,False,,"Validate WS ERROR COUNT has required value. When WS-ERROR-COUNT > ZERO, the system applies this rule. Implemented in program PRCSEQ00, paragraph 4100-CHECK-FINAL-STATUS.",WS-ERROR-COUNT > ZERO,FIELD_VALUE_COMPARE,False,PRCSEQ00,4100-CHECK-FINAL-STATUS,
RULE-VALIDATE-ZERO-HAS-REQUIRED-VALUE,Validate ZERO has required value,VALIDATION,VALIDATION,medium,True,,"Validate ZERO has required value. When WS-ACTIVE-COUNT > ZERO, the system applies this rule. Implemented in program PRCSEQ00, paragraph 4100-CHECK-FINAL-STATUS.",WS-ACTIVE-COUNT > ZERO,FIELD_VALUE_COMPARE,False,PRCSEQ00,4100-CHECK-FINAL-STATUS,
RULE-VALIDATE-LS-PROCESS-DATE-IS-NOT-ZERO-OR-EMPTY,Validate LS PROCESS Date is not zero or empty,VALIDATION,VALIDATION,medium,True,,"Validate LS PROCESS Date is not zero or empty. When LS-PROCESS-DATE = SPACES, the system applies this rule. Implemented in program RCVPRC00, paragraph 1200-VALIDATE-REQUEST.",LS-PROCESS-DATE = SPACES,NULL_ZERO_CHECK,False,RCVPRC00,1200-VALIDATE-REQUEST,
