para_id,program_id,name,section,start_line,end_line,complexity_score,has_perform,has_goto,has_call,has_stop_run,is_entry_point,is_terminal,is_dead_code,pseudocode_preview
HISTLD00::1300-INIT-CHECKPOINTS,HISTLD00,1300-INIT-CHECKPOINTS,,120,133,3,False,False,False,False,False,False,False,-- Paragraph 1300-INIT-CHECKPOINTS: Initialisation and setup INITIALIZE bct-key (special value) SET bct-job-name = histld00 READ next record from batch-control-file CALL 9000-error-routine SET bct-status = bct-stat-active WRITE batch-control-record to output
HISTLD00::2000-PROCESS,HISTLD00,2000-PROCESS,,86,94,2,False,False,False,False,False,False,False,-- Paragraph 2000-PROCESS: Main processing logic CALL 2100-read-history IF MORE-RECORDS THEN CALL 2200-load-to-db2 CALL 2300-check-commit
HISTLD00::2100-READ-HISTORY,HISTLD00,2100-READ-HISTORY,,134,142,4,False,False,False,False,False,False,False,-- Paragraph 2100-READ-HISTORY: Read input records READ next record from transaction-history INCREMENT ws-records-read BY 1
HISTLD00::2200-LOAD-TO-DB2,HISTLD00,2200-LOAD-TO-DB2,,143,176,4,False,False,False,False,False,False,False,-- Paragraph 2200-LOAD-TO-DB2: Core business logic SET ph-account-no = th-account-no SET ph-portfolio-id = th-portfolio-id SET ph-trans-date = th-trans-date SET ph-trans-time = th-trans-time SET ph-trans-type = th-trans-type SET ph-security-id = th-security-id SET ph-quantity = th-quantity SET ph-pr
HISTLD00::2300-CHECK-COMMIT,HISTLD00,2300-CHECK-COMMIT,,177,190,1,False,False,False,False,False,False,False,-- Paragraph 2300-CHECK-COMMIT: Core business logic INCREMENT ws-commit-count BY 1 IF WS-COMMIT-COUNT >= WS-COMMIT-THRESHOLD THEN SET ws-commit-count = 0 CALL 2310-update-checkpoint
HISTLD00::2310-UPDATE-CHECKPOINT,HISTLD00,2310-UPDATE-CHECKPOINT,,191,201,4,False,False,False,False,False,False,False,-- Paragraph 2310-UPDATE-CHECKPOINT: Core business logic SET bct-records-read = ws-records-read SET bct-records-written = ws-records-written WRITE batch-control-record to output CALL 9000-error-routine
HISTLD00::3000-TERMINATE,HISTLD00,3000-TERMINATE,,95,101,0,False,False,False,False,False,False,False,-- Paragraph 3000-TERMINATE: Core business logic CALL 3100-final-commit CALL 3200-close-files CALL 3300-disconnect-db2 CALL 3400-display-stats
HISTLD00::3100-FINAL-COMMIT,HISTLD00,3100-FINAL-COMMIT,,202,209,0,False,False,False,False,False,False,False,-- Paragraph 3100-FINAL-COMMIT: Core business logic CALL 2310-update-checkpoint
HISTLD00::3200-CLOSE-FILES,HISTLD00,3200-CLOSE-FILES,,210,214,0,False,False,False,False,False,False,False,-- Paragraph 3200-CLOSE-FILES: Close files and cleanup CLOSE transaction-history
HISTLD00::3300-DISCONNECT-DB2,HISTLD00,3300-DISCONNECT-DB2,,215,218,0,False,False,False,False,False,False,False,-- Paragraph 3300-DISCONNECT-DB2: Core business logic CALL disconnect-from-db2
HISTLD00::3400-DISPLAY-STATS,HISTLD00,3400-DISPLAY-STATS,,219,225,2,False,False,False,False,False,False,False,-- Paragraph 3400-DISPLAY-STATS: Core business logic -- [paragraph logic]
HISTLD00::9000-ERROR-ROUTINE,HISTLD00,9000-ERROR-ROUTINE,,226,233,1,False,False,False,False,False,False,False,-- Paragraph 9000-ERROR-ROUTINE: Error handling SET err-program = histld00 CALL ERRPROC
PRCSEQ00::0000-MAIN,PRCSEQ00,0000-MAIN,,75,93,9,False,False,False,False,True,True,False,-- Paragraph 0000-MAIN: Core business logic EVALUATE (TRUE) CALL 1000-initialize-sequence CALL 2000-get-next-process CALL 3000-check-status CALL 4000-terminate-sequence CALL 9000-error-routine SET return-code = ls-return-code RETURN to caller
PRCSEQ00::1000-INITIALIZE-SEQUENCE,PRCSEQ00,1000-INITIALIZE-SEQUENCE,,94,99,0,False,False,False,False,False,False,False,-- Paragraph 1000-INITIALIZE-SEQUENCE: Initialisation and setup CALL 1100-open-files CALL 1200-build-sequence CALL 1300-create-control-records
PRCSEQ00::1100-OPEN-FILES,PRCSEQ00,1100-OPEN-FILES,,141,154,2,False,False,False,False,False,False,False,-- Paragraph 1100-OPEN-FILES: Open files and resources IF WS-PSR-STATUS NOT = '00' THEN CALL 9000-error-routine IF WS-BCT-STATUS NOT = '00' THEN CALL 9000-error-routine
PRCSEQ00::1200-BUILD-SEQUENCE,PRCSEQ00,1200-BUILD-SEQUENCE,,155,179,4,False,False,False,False,False,False,False,-- Paragraph 1200-BUILD-SEQUENCE: Core business logic SET psr-key = ls-process-date CALL 9000-error-routine CALL until READ next record from process-seq-file SET ws-psr-status = 10 IF PSR-TYPE = LS-SEQUENCE-TYPE THEN CALL 1210-add-to-sequence
PRCSEQ00::1210-ADD-TO-SEQUENCE,PRCSEQ00,1210-ADD-TO-SEQUENCE,,180,187,0,False,False,False,False,False,False,False,-- Paragraph 1210-ADD-TO-SEQUENCE: Core business logic INCREMENT ws-process-count BY 1 SET ws-proc-id(ws-proc-ix) = psr-process-id SET ws-proc-seq(ws-proc-ix) = ws-process-count SET ws-proc-status(ws-proc-ix) = bct-stat-ready
PRCSEQ00::1300-CREATE-CONTROL-RECORDS,PRCSEQ00,1300-CREATE-CONTROL-RECORDS,,188,205,3,False,False,False,False,False,False,False,-- Paragraph 1300-CREATE-CONTROL-RECORDS: Core business logic CALL varying SET bct-job-name = ws-proc-id(ws-sequence-ix) SET bct-process-date = ls-process-date SET bct-sequence-no = ws-proc-seq(ws-sequence-ix) SET bct-status = bct-stat-ready WRITE batch-control-record to output CALL 9000-error-routi
PRCSEQ00::2000-GET-NEXT-PROCESS,PRCSEQ00,2000-GET-NEXT-PROCESS,,100,107,1,False,False,False,False,False,False,False,-- Paragraph 2000-GET-NEXT-PROCESS: Main processing logic CALL 2100-find-next-ready CALL 2200-check-dependencies IF LS-RETURN-CODE = ZERO THEN CALL 2300-update-process-status
PRCSEQ00::2100-FIND-NEXT-READY,PRCSEQ00,2100-FIND-NEXT-READY,,206,220,3,False,False,False,False,False,False,False,-- Paragraph 2100-FIND-NEXT-READY: Read input records CALL varying IF WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-READY THEN IF WS-SEQUENCE-IX > WS-PROCESS-COUNT THEN INITIALIZE ls-next-process (special value)
PRCSEQ00::2200-CHECK-DEPENDENCIES,PRCSEQ00,2200-CHECK-DEPENDENCIES,,221,238,4,False,False,False,False,False,False,False,-- Paragraph 2200-CHECK-DEPENDENCIES: Core business logic SET psr-process-id = ls-next-process READ next record from process-seq-file CALL 9000-error-routine CALL varying CALL 2210-check-dep-status IF LS-RETURN-CODE NOT = ZERO THEN
PRCSEQ00::2210-CHECK-DEP-STATUS,PRCSEQ00,2210-CHECK-DEP-STATUS,,239,259,6,False,False,False,False,False,False,False,-- Paragraph 2210-CHECK-DEP-STATUS: Core business logic SET bct-job-name = psr-dep-id(ws-sub) SET bct-process-date = ls-process-date READ next record from batch-control-file CALL 9000-error-routine IF NOT BCT-STATUS-DONE THEN IF PSR-DEP-HARD(WS-SUB) THEN SET ls-return-code = bct-rc-warning IF BCT-RE
PRCSEQ00::2300-UPDATE-PROCESS-STATUS,PRCSEQ00,2300-UPDATE-PROCESS-STATUS,,260,280,4,False,False,False,False,False,False,False,-- Paragraph 2300-UPDATE-PROCESS-STATUS: Main processing logic SET bct-job-name = ls-next-process SET bct-process-date = ls-process-date READ next record from batch-control-file CALL 9000-error-routine SET bct-status = bct-stat-active SET bct-start-time = ws-current-time WRITE batch-control-record t
PRCSEQ00::3000-CHECK-STATUS,PRCSEQ00,3000-CHECK-STATUS,,108,113,1,False,False,False,False,False,False,False,-- Paragraph 3000-CHECK-STATUS: Core business logic CALL 3100-read-control-status CALL 3200-update-sequence-table CALL 3300-check-completion
PRCSEQ00::3100-READ-CONTROL-STATUS,PRCSEQ00,3100-READ-CONTROL-STATUS,,281,291,3,False,False,False,False,False,False,False,-- Paragraph 3100-READ-CONTROL-STATUS: Read input records SET bct-job-name = ls-next-process SET bct-process-date = ls-process-date READ next record from batch-control-file CALL 9000-error-routine
PRCSEQ00::3200-UPDATE-SEQUENCE-TABLE,PRCSEQ00,3200-UPDATE-SEQUENCE-TABLE,,292,304,2,False,False,False,False,False,False,False,-- Paragraph 3200-UPDATE-SEQUENCE-TABLE: Core business logic CALL varying IF WS-PROC-ID(WS-SEQUENCE-IX) = BCT-JOB-NAME THEN
PRCSEQ00::3300-CHECK-COMPLETION,PRCSEQ00,3300-CHECK-COMPLETION,,305,321,3,False,False,False,False,False,False,False,-- Paragraph 3300-CHECK-COMPLETION: Core business logic SET ws-active-count = zero CALL varying IF WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-ACTIVE THEN INCREMENT ws-active-count BY 1 IF WS-PROC-STATUS(WS-SEQUENCE-IX) = BCT-STAT-ERROR THEN INCREMENT ws-error-count BY 1
PRCSEQ00::4000-TERMINATE-SEQUENCE,PRCSEQ00,4000-TERMINATE-SEQUENCE,,114,118,0,False,False,False,False,False,False,False,-- Paragraph 4000-TERMINATE-SEQUENCE: Core business logic CALL 4100-check-final-status CALL 4200-close-files
PRCSEQ00::4100-CHECK-FINAL-STATUS,PRCSEQ00,4100-CHECK-FINAL-STATUS,,322,335,4,False,False,False,False,False,False,False,-- Paragraph 4100-CHECK-FINAL-STATUS: Core business logic CALL 3300-check-completion IF WS-ERROR-COUNT > ZERO THEN SET ls-return-code = bct-rc-error IF WS-ACTIVE-COUNT > ZERO THEN SET ls-return-code = bct-rc-warning SET ls-return-code = bct-rc-success
PRCSEQ00::4200-CLOSE-FILES,PRCSEQ00,4200-CLOSE-FILES,,336,345,1,False,False,False,False,False,False,False,-- Paragraph 4200-CLOSE-FILES: Close files and cleanup CLOSE process-seq-file IF WS-PSR-STATUS NOT = '00' OR THEN CALL 9000-error-routine
PRCSEQ00::9000-ERROR-ROUTINE,PRCSEQ00,9000-ERROR-ROUTINE,,119,140,2,False,False,False,False,False,False,False,-- Paragraph 9000-ERROR-ROUTINE: Error handling SET err-program = prcseq00 SET ls-return-code = bct-rc-error CALL ERRPROC
RCVPRC00::0000-MAIN,RCVPRC00,0000-MAIN,,71,87,8,False,False,False,False,True,True,False,-- Paragraph 0000-MAIN: Core business logic EVALUATE (TRUE) CALL 1000-initialize-recovery CALL 2000-process-recovery CALL 3000-terminate-recovery CALL 9000-error-routine SET return-code = ls-return-code RETURN to caller
RCVPRC00::1000-INITIALIZE-RECOVERY,RCVPRC00,1000-INITIALIZE-RECOVERY,,88,93,0,False,False,False,False,False,False,False,-- Paragraph 1000-INITIALIZE-RECOVERY: Initialisation and setup CALL 1100-open-files CALL 1200-validate-request CALL 1300-set-recovery-mode
RCVPRC00::1100-OPEN-FILES,RCVPRC00,1100-OPEN-FILES,,118,131,2,False,False,False,False,False,False,False,-- Paragraph 1100-OPEN-FILES: Open files and resources IF WS-BCT-STATUS NOT = '00' THEN CALL 9000-error-routine IF WS-PSR-STATUS NOT = '00' THEN CALL 9000-error-routine
RCVPRC00::1200-VALIDATE-REQUEST,RCVPRC00,1200-VALIDATE-REQUEST,,132,148,9,False,False,False,False,False,False,False,-- Paragraph 1200-VALIDATE-REQUEST: Validation logic IF LS-PROCESS-DATE = SPACES THEN CALL 9000-error-routine EVALUATE (LS-RECOVERY-TYPE) CALL 9000-error-routine
RCVPRC00::1300-SET-RECOVERY-MODE,RCVPRC00,1300-SET-RECOVERY-MODE,,149,158,1,False,False,False,False,False,False,False,-- Paragraph 1300-SET-RECOVERY-MODE: Core business logic SET ws-recovery-mode = ls-recovery-type IF WS-RECOVER-PROCESS AND LS-PROCESS-ID = SPACES THEN CALL 9000-error-routine
RCVPRC00::2000-PROCESS-RECOVERY,RCVPRC00,2000-PROCESS-RECOVERY,,94,104,7,False,False,False,False,False,False,False,-- Paragraph 2000-PROCESS-RECOVERY: Main processing logic EVALUATE (WS-RECOVERY-MODE) CALL 2100-recover-process CALL 2200-recover-sequence CALL 2300-recover-all
RCVPRC00::2100-RECOVER-PROCESS,RCVPRC00,2100-RECOVER-PROCESS,,159,172,2,False,False,False,False,False,False,False,-- Paragraph 2100-RECOVER-PROCESS: Main processing logic SET bct-job-name = ls-process-id SET bct-process-date = ls-process-date READ next record from batch-control-file CALL 9000-error-routine CALL 2110-determine-action CALL 2120-execute-recovery
RCVPRC00::2110-DETERMINE-ACTION,RCVPRC00,2110-DETERMINE-ACTION,,173,192,6,False,False,False,False,False,False,False,-- Paragraph 2110-DETERMINE-ACTION: Core business logic SET psr-process-id = ls-process-id READ next record from process-seq-file CALL 9000-error-routine IF PSR-RESTARTABLE THEN IF BCT-RESTART-COUNT > BCT-MAX-RESTARTS THEN
RCVPRC00::2120-EXECUTE-RECOVERY,RCVPRC00,2120-EXECUTE-RECOVERY,,193,203,7,False,False,False,False,False,False,False,-- Paragraph 2120-EXECUTE-RECOVERY: Core business logic EVALUATE (TRUE) CALL 2121-restart-process CALL 2122-bypass-process CALL 2123-terminate-process
RCVPRC00::2121-RESTART-PROCESS,RCVPRC00,2121-RESTART-PROCESS,,204,216,2,False,False,False,False,False,False,False,-- Paragraph 2121-RESTART-PROCESS: Main processing logic SET bct-status = bct-stat-ready INCREMENT bct-restart-count BY 1 SET bct-attempt-ts = ws-current-time WRITE batch-control-record to output CALL 9000-error-routine
RCVPRC00::2122-BYPASS-PROCESS,RCVPRC00,2122-BYPASS-PROCESS,,217,228,2,False,False,False,False,False,False,False,-- Paragraph 2122-BYPASS-PROCESS: Main processing logic SET bct-status = bct-stat-done SET bct-return-code = bct-rc-warning WRITE batch-control-record to output CALL 9000-error-routine
RCVPRC00::2123-TERMINATE-PROCESS,RCVPRC00,2123-TERMINATE-PROCESS,,229,240,2,False,False,False,False,False,False,False,-- Paragraph 2123-TERMINATE-PROCESS: Main processing logic SET bct-status = bct-stat-error SET bct-return-code = bct-rc-error WRITE batch-control-record to output CALL 9000-error-routine
RCVPRC00::2200-RECOVER-SEQUENCE,RCVPRC00,2200-RECOVER-SEQUENCE,,241,262,4,False,False,False,False,False,False,False,-- Paragraph 2200-RECOVER-SEQUENCE: Core business logic SET bct-process-date = ls-process-date INITIALIZE bct-job-name CALL 9000-error-routine CALL until READ next record from batch-control-file SET ws-bct-status = 10 IF BCT-PROCESS-DATE = LS-PROCESS-DATE THEN CALL 2100-recover-process
RCVPRC00::2300-RECOVER-ALL,RCVPRC00,2300-RECOVER-ALL,,263,282,3,False,False,False,False,False,False,False,-- Paragraph 2300-RECOVER-ALL: Core business logic INITIALIZE bct-key CALL 9000-error-routine CALL until READ next record from batch-control-file SET ws-bct-status = 10 SET ls-process-id = bct-job-name CALL 2100-recover-process
RCVPRC00::3000-TERMINATE-RECOVERY,RCVPRC00,3000-TERMINATE-RECOVERY,,105,109,0,False,False,False,False,False,False,False,-- Paragraph 3000-TERMINATE-RECOVERY: Core business logic CALL 3100-update-final-status CALL 3200-close-files
RCVPRC00::3100-UPDATE-FINAL-STATUS,RCVPRC00,3100-UPDATE-FINAL-STATUS,,283,292,3,False,False,False,False,False,False,False,-- Paragraph 3100-UPDATE-FINAL-STATUS: Core business logic IF LS-RETURN-CODE = ZERO THEN CALL ERRPROC
RCVPRC00::3200-CLOSE-FILES,RCVPRC00,3200-CLOSE-FILES,,293,302,1,False,False,False,False,False,False,False,-- Paragraph 3200-CLOSE-FILES: Close files and cleanup CLOSE batch-control-file IF WS-BCT-STATUS NOT = '00' OR THEN CALL 9000-error-routine
RCVPRC00::9000-ERROR-ROUTINE,RCVPRC00,9000-ERROR-ROUTINE,,110,117,1,False,False,False,False,False,False,False,-- Paragraph 9000-ERROR-ROUTINE: Error handling SET err-program = rcvprc00 SET ls-return-code = bct-rc-error CALL ERRPROC
RPTAUD00::0000-MAIN,RPTAUD00,0000-MAIN,,83,88,0,False,False,False,False,True,True,False,-- Paragraph 0000-MAIN: Core business logic CALL 1000-initialize CALL 2000-process-report CALL 3000-cleanup
RPTAUD00::1000-INITIALIZE,RPTAUD00,1000-INITIALIZE,,89,92,1,False,False,False,False,False,False,False,-- Paragraph 1000-INITIALIZE: Initialisation and setup CALL 1100-open-files CALL 1200-write-headers
RPTAUD00::1100-OPEN-FILES,RPTAUD00,1100-OPEN-FILES,,93,114,3,False,False,False,False,False,False,False,-- Paragraph 1100-OPEN-FILES: Open files and resources IF WS-AUDIT-STATUS NOT = '00' THEN CALL 9999-error-handler IF WS-ERROR-STATUS NOT = '00' THEN CALL 9999-error-handler IF WS-REPORT-STATUS NOT = '00' THEN CALL 9999-error-handler
RPTAUD00::1200-WRITE-HEADERS,RPTAUD00,1200-WRITE-HEADERS,,115,120,4,False,False,False,False,False,False,False,-- Paragraph 1200-WRITE-HEADERS: Write output records WRITE report-record to output WRITE report-record to output WRITE report-record to output
RPTAUD00::2000-PROCESS-REPORT,RPTAUD00,2000-PROCESS-REPORT,,121,125,1,False,False,False,False,False,False,False,-- Paragraph 2000-PROCESS-REPORT: Main processing logic CALL 2100-process-audit-trail CALL 2200-process-error-log CALL 2300-write-summary
RPTAUD00::2100-PROCESS-AUDIT-TRAIL,RPTAUD00,2100-PROCESS-AUDIT-TRAIL,,126,129,1,False,False,False,False,False,False,False,-- Paragraph 2100-PROCESS-AUDIT-TRAIL: Main processing logic CALL 2110-read-audit-records CALL 2120-summarize-audit
RPTAUD00::2200-PROCESS-ERROR-LOG,RPTAUD00,2200-PROCESS-ERROR-LOG,,130,133,1,False,False,False,False,False,False,False,-- Paragraph 2200-PROCESS-ERROR-LOG: Main processing logic CALL 2210-read-error-records CALL 2220-summarize-errors
RPTAUD00::2300-WRITE-SUMMARY,RPTAUD00,2300-WRITE-SUMMARY,,134,138,4,False,False,False,False,False,False,False,-- Paragraph 2300-WRITE-SUMMARY: Write output records CALL 2310-write-audit-summary CALL 2320-write-error-summary CALL 2330-write-control-summary
RPTAUD00::3000-CLEANUP,RPTAUD00,3000-CLEANUP,,139,141,0,False,False,False,False,False,False,False,-- Paragraph 3000-CLEANUP: Core business logic CLOSE audit-file
RPTAUD00::9999-ERROR-HANDLER,RPTAUD00,9999-ERROR-HANDLER,,144,147,0,False,False,False,False,False,True,False,-- Paragraph 9999-ERROR-HANDLER: Error handling SET return-code = 12
RPTAUD00::REPORT-FILE,RPTAUD00,REPORT-FILE,,142,143,0,False,False,False,False,False,False,True,-- Paragraph REPORT-FILE: Core business logic -- [paragraph logic]
RPTPOS00::0000-MAIN,RPTPOS00,0000-MAIN,,78,83,0,False,False,False,False,True,True,False,-- Paragraph 0000-MAIN: Core business logic CALL 1000-initialize CALL 2000-process-report CALL 3000-cleanup
RPTPOS00::1000-INITIALIZE,RPTPOS00,1000-INITIALIZE,,84,87,1,False,False,False,False,False,False,False,-- Paragraph 1000-INITIALIZE: Initialisation and setup CALL 1100-open-files CALL 1200-write-headers
RPTPOS00::1100-OPEN-FILES,RPTPOS00,1100-OPEN-FILES,,88,109,3,False,False,False,False,False,False,False,-- Paragraph 1100-OPEN-FILES: Open files and resources IF WS-POSITION-STATUS NOT = '00' THEN CALL 9999-error-handler IF WS-TRAN-STATUS NOT = '00' THEN CALL 9999-error-handler IF WS-REPORT-STATUS NOT = '00' THEN CALL 9999-error-handler
RPTPOS00::1200-WRITE-HEADERS,RPTPOS00,1200-WRITE-HEADERS,,110,115,4,False,False,False,False,False,False,False,-- Paragraph 1200-WRITE-HEADERS: Write output records WRITE report-record to output WRITE report-record to output WRITE report-record to output
RPTPOS00::2000-PROCESS-REPORT,RPTPOS00,2000-PROCESS-REPORT,,116,120,2,False,False,False,False,False,False,False,-- Paragraph 2000-PROCESS-REPORT: Main processing logic CALL 2100-read-positions CALL 2200-process-transactions CALL 2300-write-summary
RPTPOS00::2100-READ-POSITIONS,RPTPOS00,2100-READ-POSITIONS,,121,130,6,False,False,False,False,False,False,False,-- Paragraph 2100-READ-POSITIONS: Read input records READ next record from position-master CALL until CALL 2110-format-position READ next record from position-master
RPTPOS00::2110-FORMAT-POSITION,RPTPOS00,2110-FORMAT-POSITION,,133,142,1,False,False,False,False,False,False,False,-- Paragraph 2110-FORMAT-POSITION: Core business logic SET ws-pos-portfolio = pos-portfolio-id SET ws-pos-description = pos-description SET ws-pos-quantity = pos-quantity SET ws-pos-value = pos-current-value COMPUTE WS-POS-CHANGE-PCT = WRITE report-record to output
RPTPOS00::2200-PROCESS-TRANSACTIONS,RPTPOS00,2200-PROCESS-TRANSACTIONS,,143,146,1,False,False,False,False,False,False,False,-- Paragraph 2200-PROCESS-TRANSACTIONS: Main processing logic CALL 2210-read-transactions CALL 2220-summarize-activity
RPTPOS00::2300-WRITE-SUMMARY,RPTPOS00,2300-WRITE-SUMMARY,,147,151,4,False,False,False,False,False,False,False,-- Paragraph 2300-WRITE-SUMMARY: Write output records CALL 2310-write-totals CALL 2320-write-exceptions CALL 2330-write-metrics
RPTPOS00::3000-CLEANUP,RPTPOS00,3000-CLEANUP,,152,154,0,False,False,False,False,False,False,False,-- Paragraph 3000-CLEANUP: Core business logic CLOSE position-master
RPTPOS00::9999-ERROR-HANDLER,RPTPOS00,9999-ERROR-HANDLER,,157,160,0,False,False,False,False,False,True,False,-- Paragraph 9999-ERROR-HANDLER: Error handling SET return-code = 12
RPTPOS00::END-PERFORM,RPTPOS00,END-PERFORM,,131,132,0,False,False,False,False,False,False,True,-- Paragraph END-PERFORM: Core business logic -- [paragraph logic]
RPTPOS00::REPORT-FILE,RPTPOS00,REPORT-FILE,,155,156,0,False,False,False,False,False,False,True,-- Paragraph REPORT-FILE: Core business logic -- [paragraph logic]
RPTSTA00::0000-MAIN,RPTSTA00,0000-MAIN,,96,101,0,False,False,False,False,True,True,False,-- Paragraph 0000-MAIN: Core business logic CALL 1000-initialize CALL 2000-process-report CALL 3000-cleanup
RPTSTA00::1000-INITIALIZE,RPTSTA00,1000-INITIALIZE,,102,106,1,False,False,False,False,False,False,False,-- Paragraph 1000-INITIALIZE: Initialisation and setup CALL 1100-open-files CALL 1200-write-headers CALL 1300-init-accumulators
RPTSTA00::1100-OPEN-FILES,RPTSTA00,1100-OPEN-FILES,,107,128,3,False,False,False,False,False,False,False,-- Paragraph 1100-OPEN-FILES: Open files and resources IF WS-DB2-STATUS NOT = '00' THEN CALL 9999-error-handler IF WS-BCH-STATUS NOT = '00' THEN CALL 9999-error-handler IF WS-REPORT-STATUS NOT = '00' THEN CALL 9999-error-handler
RPTSTA00::1200-WRITE-HEADERS,RPTSTA00,1200-WRITE-HEADERS,,129,134,4,False,False,False,False,False,False,False,-- Paragraph 1200-WRITE-HEADERS: Write output records WRITE report-record to output WRITE report-record to output WRITE report-record to output
RPTSTA00::1300-INIT-ACCUMULATORS,RPTSTA00,1300-INIT-ACCUMULATORS,,135,137,0,False,False,False,False,False,False,False,-- Paragraph 1300-INIT-ACCUMULATORS: Initialisation and setup -- [paragraph logic]
RPTSTA00::2000-PROCESS-REPORT,RPTSTA00,2000-PROCESS-REPORT,,138,143,1,False,False,False,False,False,False,False,-- Paragraph 2000-PROCESS-REPORT: Main processing logic CALL 2100-process-db2-stats CALL 2200-process-batch-stats CALL 2300-calculate-metrics CALL 2400-write-report
RPTSTA00::2100-PROCESS-DB2-STATS,RPTSTA00,2100-PROCESS-DB2-STATS,,144,153,5,False,False,False,False,False,False,False,-- Paragraph 2100-PROCESS-DB2-STATS: Main processing logic READ next record from db2-stats CALL until CALL 2110-accumulate-db2-stats READ next record from db2-stats
RPTSTA00::2200-PROCESS-BATCH-STATS,RPTSTA00,2200-PROCESS-BATCH-STATS,,156,165,5,False,False,False,False,False,False,False,-- Paragraph 2200-PROCESS-BATCH-STATS: Main processing logic READ next record from batch-stats CALL until CALL 2210-accumulate-batch-stats READ next record from batch-stats
